state1,state2,interval,type,drainage1,disturbance1,cover_type1,soil1,age1,drainage2,disturbance2,cover_type2,soil2,age2,precip,mean_temp,max_temp,min_temp,id,longitude,latitude
0,0,9,Absent,NA,NA,NA,NA,NA,60,NA,R,7E,10,848.0,-1.11,4.465,-6.675000000000001,7002500902,-77.166055,52.394259
0,0,11,Absent,60,NA,R,7E,10,60,NA,R,7E,10,794.5,1.095,6.025,-3.825,7002500902,-77.166055,52.394259
0,0,6,Absent,NA,NA,R,NA,30,NA,NA,R,NA,30,1011.5,-0.9299999999999999,4.675000000000001,-6.53,7409705001,-74.431974,48.792335
0,0,12,Absent,NA,NA,R,NA,30,20,NA,R,2AE,50,995.5,-0.9299999999999999,4.970000000000001,-6.83,7409705001,-74.431974,48.792335
0,0,6,Absent,NA,NA,M,NA,10,NA,NA,M,NA,30,1003.5,-0.8,4.8149999999999995,-6.415,7409705002,-74.426466,48.791147
0,0,12,Absent,NA,NA,M,NA,30,21,NA,R,1AY,30,987.5,-0.8,5.109999999999999,-6.715,7409705002,-74.426466,48.791147
0,0,8,Absent,NA,NA,F,NA,NA,NA,NA,F,NA,50,956.5,4.33,9.704999999999998,-1.05,7000700802,-72.219669,46.118783
0,0,7,Absent,NA,NA,F,NA,50,NA,NA,F,NA,50,978.5,4.165,9.555,-1.23,7000700802,-72.219669,46.118783
0,0,9,Absent,NA,NA,F,NA,50,43,CP,F,5S,70,1050.0,4.425000000000001,9.61,-0.765,7000700802,-72.219669,46.118783
0,0,15,Absent,43,CP,F,5S,70,33,NA,M,5S,70,1131.0,4.945,9.99,-0.11000000000000001,7000700802,-72.219669,46.118783
0,0,8,Absent,NA,CP,M,NA,30,NA,CP,M,NA,50,957.5,4.33,9.7,-1.045,7000700801,-72.21643,46.115651
0,0,7,Absent,NA,CP,M,NA,50,NA,NA,M,NA,50,979.5,4.165,9.545,-1.22,7000700801,-72.21643,46.115651
0,0,9,Absent,NA,NA,M,NA,50,40,NA,M,5S,70,1051.0,4.425000000000001,9.605,-0.76,7000700801,-72.21643,46.115651
0,0,15,Absent,40,NA,M,5S,70,30,NA,M,5S,90,1131.5,4.945,9.99,-0.11000000000000001,7000700801,-72.21643,46.115651
0,0,12,Absent,NA,CP,F,NA,30,30,CP,F,1AM,30,1082.0,2.63,8.24,-2.975,9109608301,-68.853349,47.386719
0,0,12,Absent,NA,NA,F,NA,30,30,NA,F,1AM,JIN,1072.5,2.755,8.385000000000002,-2.87,9109608302,-68.848097,47.385544
0,0,7,Absent,NA,NA,R,NA,50,20,NA,R,2A,70,1062.5,1.495,7.07,-4.085,8809410301,-72.440994,48.266718
