"id_plot","yr_measured","lat","lon","ers","drainage","disturbance","cover_type","soil","age_stand","annual_pp","annual_mean_temp","annual_min_temp","annual_max_temp"
7100603901,1992,-70.817108,47.350116,NA,20,NA,"M","1AM","30",1439,-1.25,-6.29,3.79
7100810201,2006,-75.283577,46.417072,NA,30,NA,"R","R1A","50",1313,4.94,-0.38,10.25
7101000901,2010,-73.463302,49.666352,NA,20,NA,"R","2BE","120",922,3,-2.23,8.24
7101004602,1999,-74.26094,51.384631,NA,30,NA,"R","1A","30",961,0.43,-5,5.86
7109610901,2006,-75.470162,47.07607,NA,30,NA,"R","1A","30",1234,4.5,-0.76,9.76
7202101101,2010,0,0,NA,30,NA,"M","1AY","10",769,2.24,-2.71,7.19
7209201002,2003,-78.819791,46.96963,NA,30,NA,"M","2BE","10",985,2.91,-2.56,8.39
7209701401,2003,-77.883005,46.717388,NA,20,NA,"F","R1A","70",1012,2.83,-2.74,8.39
7209903102,1993,-77.835521,47.002923,NA,30,NA,"F","4GS","70",945,2.21,-3.65,8.07
7301102402,2002,-62.041114,51.867841,NA,30,NA,"R","3AN","VIN",988,-1.03,-5.65,3.58
7409802001,1998,-74.266187,47.966587,NA,30,NA,"M","1A","70",1004,2.57,-3.17,8.3
7501101302,2003,-69.879155,47.269819,0.57431926539173,20,NA,"F","1A","70",1166,2.8,-2.72,8.32
7501704301,1996,-79.48141,47.98347,NA,30,NA,"F","4GA","50",827,1.3,-4.69,7.29
7507400902,1998,-71.122096,50.001138,NA,30,NA,"R","1AY","10",1093,1.03,-4.23,6.29
7507600901,1998,-71.816366,49.800492,NA,40,NA,"R","1AM","10",1071,1.4,-4.01,6.81
7601203402,1995,-66.921826,48.965631,NA,30,NA,"M","1A","JIN",1160,2.49,-2.11,7.09
7601303701,1998,-70.06697,50.950185,NA,30,NA,"R","1A","120",1106,-0.49,-5.48,4.5
7601800602,1997,-74.477112,45.783732,NA,20,NA,"F","R1A","JIN",1098,3.48,-2.01,8.97
7601900401,1997,-72.299956,46.499968,NA,40,NA,"R","5S","JIN",925,4.13,-1.39,9.65
7607908701,2010,0,0,NA,40,NA,"M","1A","10",1003,3.78,-1.55,9.12
7608300202,1998,-71.14397,48.900892,NA,41,NA,"M","1AM","JIN",1142,1.96,-3.31,7.24
7608604101,1997,-73.966678,46.616871,0.284550539997059,20,NA,"F","1A","JIN",978,1.59,-4.73,7.9
7609508402,1998,-72.523267,47.492786,NA,20,NA,"M","1AY","50",1103,3.59,-1.89,9.07
7609601701,2010,-73.182402,46.950681,0.764845864257664,30,NA,"F","1A","9030",1111,5.01,-0.39,10.42
7609900302,1997,-66.395663,48.779537,NA,30,NA,"R","8AY","30",1066,-0.3,-4.69,4.1
7701201601,2001,-66.89917,51.633688,NA,20,NA,"F","1A","JIN",920,-0.24,-5.26,4.78
7701300702,2001,-67.079104,50.402709,NA,30,NA,"R","M1A","70",983,0.73,-3.99,5.44
8709600102,2005,-79.339035,47.219087,NA,40,NA,"M","4GA","50",689,4.28,-1.61,10.18
8709604502,2010,-78.805196,48.85126,NA,40,NA,"M","4GA","70",779,3.47,-1.77,8.71
